question_id,question,answer_0,answer_1,answer_2,correct_answer
106,Сколько вариантов будущего увидел Доктор Стрэндж в фильме Мстители война бесконечности?,14006250,14000625,14625000,1
108,В каком году была открыта первая в мире общественная железная дорога ?,1825 год,1813 год,1807 год,0
109,"В прошлом считалось, что если этого не делать во время зевка, то в тебя залетят бесы. Что же нужно делать?",Прикрывать (закрывать) рот рукой,Закрывать глаза,Перекреститься,0
110,В каком городе население больше,Сочи,Самара,Саратов,1
111,Какого кандидата не будет в мэры Москвы,Илья Тимурович Свиридов,Андрей Иванович Путин,Михаил Дмитриевич Балакин,1
112,Сколько персонажей сыграл Эдди Мёрфи в фильме <Чокнутый профессор>?,7,5,2,0
116,Как звали кошку сериале «Очень странные дела»,Снежок,Цветик,Муся,2
119,Когда отменили крепостное право?,1860 год,1861 год,1857 год,1
121,Сколько суток курица высиживает цыплят?,23 суток,22 суток,21 суток,2
124,"Мальчик заплатил за бутылку с пробкой 11 рублей. Бутылка стоит на 10 рублей больше, чем пробка. Сколько стоит пробка?","1 рубль, 50 копеек",50 копеек,1 рубль,1
125,"Что в литературе обозначает слово ""эпитет""?",Употребление слова в переносном значении,Красочное определение,Преувеличение,1
128,Чьим сыном был древнегреческое божество Протей?,Зевса,Посейдон,Кроноса,1
129,Какое прозвище у хоккеиста «Коламбуса» Артемия Панарина?,Хлебушек,Кудряш,Коламбусик,0
130,Как до 1991 года назывался город Самара ?,Царицын,Куйбышев,Калинин,1
131,Кто является автором методики восстановления внешнего облика человека на основе скелетных остатков?,М.М.Герасимов,Г.В.Лебединская,Г.Ф.Дебец,0
132,Кто являеться на данный момент Чемпионом Мира по Спидкубингу,Феликс Земдегс,Патрик Понс,Макс Парк,2
133,"Как звали сестёр из сериала ""Универ Новая общага"", которые приехали в Москву учиться из Нижнего Новгорода?",Маша и Яна,Яна и Кристина,Вика и Ника,2
135,Как называется приём пищи утром?,Обед,Ужин,Завтрак,2
137,Какой цветок является национальным символом Финляндии?,Ландыш,Подснежник,Незабудка,0
139,Второе совершенное число,28,48,38,0
141,Сколько глаз у обычной мухи?,2,5,8,1
143,"Какое мужское имя имеет не греческое, а римское происхождение?",Денис,Павел,Александр,1
144,"Сколько сезонов сериала ""Сверхъестественное"" вышло на данный момент",13,14,15,0
146,В каком году вышла приставка денди,2001,В 1990,В 1983,2
147,Сколько котлет содержится в настоящем биг-маке?,Ни одной,2,1,1
149,Сколько раз получал награду «Морис Ришар Трофи» Хоккеист Александр Овечкин?,6,7,4,1
150,Кто был предводителем лютеранской церкви?,Папа Римский,Жан Кальвин,Мартин Лютер,2
151,Какой из этих бальных танцев зародился в Бразилии?,Самба,Джайв,Румба,0
153,Кто был автором рассказов про Дениску Кораблёва?,Виктор Драгунский,Аркадий Гайдар,Лия Гераскина,0
154,В каком городе был установлен действующий абсолютный рекорд по прыжкам с шестом среди мужчин?,Сестриере,Донецк,Цюрих,1
158,Флаг какого государства отличается от остальных по цветовой гамме?,Швеция,Швейцария,Дания,0
159,Сколько глаз у обыкновенной мухи?,2,3,5,2
160,Какой из перечисленных трюков есть на самокате?,Bri Flip,Brein Flip,Brai Flip,0
161,В каком году основан город Мурманск?,1916,1918,1912,0
162,Сколько Республик на данный момент насчитывается в России?,24,20,22,2
163,"Какого цвета был шарик у пяточка, на день рождения ослика ?",Синий,Зеленый,Красный,1
164,Сколько музыкантов в квинтете?,4,6,5,2
165,"Какой бочонок в русском лото называется ""Лебединое озеро""?",22,20,40,1
167,"К кому относится псевдоним ""Человек без селезёнки""?",Максим Горький,Алексей Николаевич Толстой,Антон Павлович Чехов,2
168,Сколько на данный момент вышло сезоном в сериале Молодёжка,7,2,5,2
169,Какой груз может выдержать женская коса?,20 тонн,500 гр,130 кг,0
170,В каком городе родился самый известный наркобарон Пабло Эскобар?,Рионегро,Медельин,Богота,0
171,От чего умер Наполеон,Его убили,От мышьяка,От болезни,1
172,Какой из этих химических элементов НЕ относится к группе лантаноидов?,Церий,Индий,Иттербий,1
173,Оболочка земли заселенная живыми организмами,Гидросфера,Литосфера,Биосфера,2
174,Как правильно пишется слово?,Тролейбус,Троллейбус,Траллейбус,1
175,Кто был первооткрывателем Новой Зеландии?,Фернан Магеллан,Америго Веспуччи,Джеймс Кук,0
176,Сколько раз в день необходимо чистить зубы?,2,3,1,0
177,Сколько регенераций на счету у Доктора из сериала ''Доктор Кто'' на данный момент?,12,13,15,2
178,Какая страна распалась в 2003 году?,Югославия,СССР,Чехословакия,0
180,"Чем заканчивается русская поговорка ""Пьяному море по колено, а ...""",океан до затылка,река по плечи,лужа по уши,2
187,В какой социальной сети обитает Момо?,Twitter,WhatsApp,Telegram,1
188,Самая глубокая река в мире,Амазонка,Днепр,Конго,2
189,"Что означает ""быть конгруэнтности""?",Соответствие морально-этическим нормам поведения в обществе,Соответствие внутреннего состояния человека и внешний проявлений этого состояния,Быть сопереживающим,1
190,Какое место занимает алюминий по распространенности в земной коре,26,3,11,1
191,Столицей золотого кольца является,Ярославль,Владимир,Ростов Великий,0
193,Сколько раз Гермиона Грейнджер использовала заклинание Окулус Репаро в фильмах о Гарри Поттере?,4,2,3,1
194,Сколько лет спала спящая красавица?,100 лет,50 лет,10 лет,0
195,"Из какой песни Земфиры строчка: ""Мои колени замёрзли""?",Прогулка,Гора,Мачо,0
198,Сколько материков на планете,5,7,6,2
199,"В каком году состоялся первый чемпионат мира ""Формулы-1""",1960,1950,1940,1
201,Когда умер Курт Кобейн,1994,1989,2001,0
203,Как танос убил несколько членов мстителей,Топотом,Стуком,Щелчком,2
205,в каком году началась первая мировая война?,1918,1941,1914 г.,2
206,"Какая команда победила на турнире по Dota 2, в 2013 году?",Alliance,Evil Geniuses,Mousesports,0
207,Какие знаки при ключе стоят в тональности Соль мажор?,Ми#,СиЬ,Фа#,2
209,В каком году Зенит впервые стал чемпионом страны,1999,2007,1984,2
211,Сколько раз Санкт-Петербург менял свое название?,3,2,4,0
212,Что из этого не является видом обуви?,Кюлоты,Дезерты,Лодочки,0
213,Последний император России,Александр III,Николай II,Николай I,1
214,В каком году родился Джон Леннон?,8 января 1945,3 апреля 1943,9 октября 1940,2
215,В каком году была построена Эйфелева башня,1886,1885,1887,2
219,Какое население в Санкт-Петербурге на 2018 год?,5 351 935,5 651 562,5 451 789,0
220,"Почему иногда нажимаю на 2,1 секунде ответ он не нажимается с экраном всё нормально.",АУ,Что делать,ау,1
221,"Что нужно делать,когда вы видите зеленого человечка?",Проигнорировать,Идти,Помахать рукой,1
222,"Какой актер в фильме ""место встречи изменить нельзя"" произнес фразу ""Кошелек, кошелек!какой такой кошелек!""",Лариса Удовиченко,Владимир Высоцкий,Станислав Садальский,2
223,Как имя кристина будет по церковному,Христина,Кристина,Кристианна,0
224,Какая страна является родиной игры «Тетрис»?,СССР,Англия,США,0
227,"Что означает термин ""латентный""",Призрачный,Скрытый,Вероятный,1
228,В чем измеряется вес?,Ньютоны,Сантиметры,Килограммы,0
229,В каком из этих регионов побывал Робинзон Крузо в продолжении романа Д. Дефо?,Аляска,Сибирь,Гренландия,1
230,У какой породы кошек шерсть волнистая?,Корниш рекс,Регдолл,Кимрик,0
232,Кем был Айвенго в своём романе?,Рыцарь,Мясник,Пастух,0
235,Когда началась Вторая Мировая война?,1 сентября,9 мая,22 июня,2
237,Как в СССР начали называть загородные дома и дачи после выхода сериала «Рабыня Изаура»,Вилла,Шале,Фазенда,2
238,Как называется самое высокое дерево в мире,Сиквоя,Кедр,Баобаб,0
239,В каком году вышла игра кс-го,2009,2015,2012,2
240,Как включить компьютер?,Нажать на кнопку питания,Встряхнуть,Выкинуть,0
241,"Кто победил в песенном конкурсе ""Евровидение"" в 2009 году?",Константин Бочаров,Александр Рыбак,Дима Билан,1
242,Какая из этих певиц родилась осенью?,Полина Гагарина,LOBODA,Ёлка,1
243,Что Дубровский спрятал в дереве для Маши?,Записку,Кольцо,Орехи,1
244,С какого расстояния назначают пенальти в футболе?,с 15 метров,с 10 метров,С 11 метров,2
245,Сколько Цветов у кубика рубика,6,4,7,0
247,"Будут ли какие добавлены новые функции?
Будут ли новые звезды?",1,1,1,0
248,В каком году была основана Москва?,1147,1053,998,0
249,Какой песни нет у Макса Коржа?,Юность,Оптимист,Наташа,0
250,Как называется второй фильм о Гоголе?,Страшная месть,Начало,Вий,2
251,Кто не является птицей?,Летучая мышь,Пингвин,Филин,0
252,Какой вид бабочки служит для плетения шёлка?,Махао,Тутовый Шелкопряд,Лимонница,1
253,Российский футбольный клуб который брал СуперКубок УЕФА,Зенит,ЦСКА,Спартак,0
254,Как раньше назывался посёлок Бреды,Бреда,Бред,Бреды,0
256,Кто написал книгу ^Оно^,Стивен Кинг,Стивен Хоккинг,Стивен Спилберг,0
257,Как называется песня группы Король и Шут?,Девушка и граф,Девушка и парень,Девушка и князь,1
259,"Здравствуйте. Хочу у Вас узнать. Я накопила клеверсы и обменяла на подвеску в Адамасе г. Тобольске, мне она очень понравилась в виде клевера. Сейчас коплю на вторую. Моя подруга обменяла клеверсы в том же Адамасе где и я, но ей дали другую подвеску, не клевер. Будут ли еще подвески клеверы, или теперь только другие подвески? Очень хочу обменять на подвеску клевер, а не на ту которую получила моя подруга",Не будут,Будут,Не будут,1
261,Какой из этих фильмов киновселенной Звездные войны не является спин-оффом,Последний джедай,Хан Соло,Изгой-Один,0
262,Кто из этих персонажей не доставал меч из шляпы Гриффиндора в киновселенной Гарри Поттера,Рон Уизли,Гарри Поттер,Невилл Долгопупс,0
263,Какой из этих домовиков никогда не работал в Хогвартсе во вселенной Гарри Поттера,Винки,Кикимер,Добби,1
264,Какого из этих домавиков не существует в киновселенной Гарри Поттера,Винки,Добби,Кикимер,0
265,Какого из этих призраков не существует в киновселенной  Гарри Поттера,Серая дама,Пивз,Почти Безголовый Ник,1
267,Какое из этих заклинаний вселенной Гарри Поттера заставляет танцевать против воли,Инсендио,Таранталлегра,Редукто,1
270,"1)Сколько лет было принцессе Авроре из сказки  о спящей красавице?;
2) Сколько золотых блюд было на пиру в сказке о спящей царевне Жуковского?",1) 16 лет.  2) 11 блюд - 12 было украдено,1) 15 лет;.  2) 12 блюд,1) 17 лет;.  2) 13 блюд,0
271,Сколько желудочков в головном мозге человека ?,2,4,5,1
272,"Кем был Скрудж Макдак из мультфильма ""Утиные истории""?",Самый умный селезень в мире,Профессиональный пилот,Самый богатый селезень в мире,2
273,"Когда был основан видеохостинг ""YouTube""?",22 мая 2009 года,17 марта 2004 года,14 февраля 2005 года,2
274,"Как называются смартфоны, выпущенные компанией ""Apple""?",iPhone,Huawei,Samsung,0
275,Кто из указанных лиц НЕ получал Нобелевскую премию дважды?,Феринг,Бардин,Сенгер,0
276,В честь персонажей какого поэта НЕ назван ни один из спутников Урана?,Бартон,Шекспир,Поуп,0
277,Какой из нижеперечисленных объектов НЕ является карликовой планетой?,Хаумеа,Оберон,Макемаке,1
278,Кто был вторым генералиссимусом в России?,А. Д. Меньшиков,А. У. Брауншвейгский,А. В. Суворов,0
279,Для стрельбы какими боеприпасами предназначалась Царь -пушка ?,картечью,железняком,олодом,0
282,Когда был зажжен Вечный огонь на могиле неизвестного солдата у Кремлевской стены?,7 июня 1963,19 августа 1968,8 мая 1967,2
284,На каком архипелаге находится могила Беринга?,Новосибирские острова,Алеутские острова,Командорские острова,2
285,Кто открыл архипелаг Шпицберген?,Виллем Баренц,Роберт Пири,Адольф Норденшельд,0
286,Какой путешественник впервые пересек Гренландию на лыжах?,Фритьоф Нансен,Рауль Амундсен,Виллем Баренц,0
287,Кто назвал Америку Америкой?,Мартин Вальдземюллер,Джон Кэбот,Америго Веспуччи,0
290,"ЦУ-5,АНО-4,ОЗС-12,что это: вид двигателя,марка коолчука,название электродов?:)",Марка краски,Название сварочных электродов,Вид ламп для старых телевизора,1
291,В каком году были возрождены и проведены первые летние Олимпийские игры?,В 1824 году,В 1896 году,В 1912 году,1
292,Сколько природных зон находится в РФ?,9,8,10,0
296,Какой ютуб канал занимает первое место по подписчикам?,Get Movies,EeOneGuy,Маша и Медведь,0
298,"Какая игра победила в номинации ""Лучший онлайн-шутер"" 2017 года?",Wolfenstein 2,PUBG,Warface,2
299,Так называют бесстыковой путь на железной дороге?,Векторный,Бархатный,Скатертью дорога,1
302,Где зародились бальные танцы?,Ямайка,Аргентина,Италия,2
303,Кто исполнил песню Gucci с Тимати,Элджей,Егор Крид,Мот,1
304,Какого из этих героев придумал не Э. Успенский?,Печкина,Шапокляк,Врунгеля,2
305,Город Владивосток находиться на берегу...,Северного моря,Японского моря,Моря Лаптевых,1
309,"Как называется тв-передача, ведущим которой на данный момент является Артём Хворостухин?",Простак за границей,Ходоки,Неспокойной ночи,2
312,Что из этого является родиной шахмат?,Австрия,Индия,Россия,1
313,"Какой инструмент требуется для стрижки в технике ""Слайсинг""",Филировочные ножницы,Бритва,Прямые ножницы,2
317,"Вопрос  такой  
Что если заметил неправильный ответ у видущего???))) 
 Вопрос про актера неснимавщеося комиком стендапером.  Ответ был типо Эдди Мерфи. 
Но он был в этой роли в фильме чокнутый профессор",Р,К,Л,0
318,Популяция каких птиц обитает вЛондоне (в Тауэре)?,Го́луби,Во́роны,Со́колы,1
319,"Он бывает с оценкой, а бывает - без неё",Зачёт,Выпускник,Экзамен,0
320,"Слово, которым на территории России и других русскоговорящих стран была названа игра ""футбэг""",ФУТСОК,КВАДРАТ,СОКС,2
322,Сколько у человека хромосом,22,26,Человеческий геном состоит из 23 пар хромосом,2
323,в каком году родилась будущия екатерина 2,1730,1729 году,1728,1
324,в каком году вышел первый фильм дети капитана гранта в ссср,1936,1935,1937,0
326,Какая страна в древности носила название Авзония?,Испания,Италия,Австрия,1
327,Где находится глазной мускул у коровы.,Нога,Глаз,Шея,0
328,Какая из этих невест НЕ является героиней корейской сказки?,Пукающая невеста,Невеста-улитка,Невеста речного бога,2
329,Когда родился Никита Мурзин.,14мар 2007,14мар 2000,12мар 2007,1
330,Кто стал чемпионом России по футболу в 2018 году?,Зенит,Спартак,Локомотив,2
331,Сколько планет в солнечной системе имеют кольца?,4,2,3,0
332,Сколько дуэлей за всю жизнь было у А.С.Пушкина?,34,29,27,1
334,Здравствуйте подокажите пожалуйста когда будет  ещё игра в клеере?,3,2,Любые,0
335,Как называется денежная валюта во Вселенной Гарри Поттера?,Флорены,Дукаты,Галлеоны,2
336,Кто из перечисленных Мишек Гамми старше?,Малыш,Густо,Солнышко,1
337,"Какая песня не входим в альбом ""Freedom Child"" группы The Script?",Eden,Freedom Child,Flares,2
340,Название машины ваз 21013,Жигули,Лада ларгус,Рэно,0
342,Каким по счёту является 3/9царство,27,3,9,0
343,"Градус (°) делится на 60 минут (60'), а минута на 60 (""секунд""), а знак секунды - какой?","""",‹,*,0
344,Четверть часа - это сколько минут?,20,15,25,1
345,"Лето, пляжи, моря́, а какой реки́ нет?
(Удалите: последняя буква ""е"", а не ""э"", а это ""жёсткий подкол"")",Куапсе,Мзымта,Туапсэ,2
346,Сколько граней у куба ?,6,8,2,0
347,Как называют в Австралии реку без воды ?,Узбоями,Уэд,Вади,2
348,"Фамилия поэта из романа Булгакова Мастер и Маргарита , повстречавшегося с Воландом на Патриарших прудах .",Фома Неверующий,Иван Бездомный,Иван Бездарный,1
350,Столицей какой страны является город Хараре?,Ботсвана,Зимбабве,Замбия,1
351,Какое из данных веществ не имеет первой постоянной волентности,Алюминий,Франций,Водород,0
352,У флага какого государства соотношение сторон не 1:1,Швейцария,Монако,Ватикан,1
353,На флаге какого государства нет фиолетового цвета,Катар,Содружество Доминика,Никарагуа,0
354,Какой марки машины не является в России,Мерседес,Газель,Волга,0
356,В комнате есть кролики и куры всего 72 животных и 200 лап сколько кур и сколько кроликов,48 кроликов и 24 курицы,44 кролика и 28 кур,46 кроликов и 26кур,1
358,"Здравствуйте. Сегодня я хотел вывести деньги на мобильный телефон. Я думал можно вывести определённую сумму. Я нажал вывести и оказалось то, что выводится вся сумма. Можно ли отказаться от вывода?",Не знаю,Не знаю,Не знаю,0
360,"Туристы, которые приезжают на Майорку, обязаны заплатить налог…",На пляжные полотенца,На солнце,На море,1
361,Откуда пошло выражение «деньги не пахнут?,От подателей за провоз парфюмерии,От сборов за нестиранные трусы,От налога на туалеты,2
362,Кто из президентов США написал свой собственный рассказ про Шерлока Холмса?,Джон Кеннеди,Франклин Рузвельт,Рональд Рейган,1
363,В каком году проходили зимние Олимпийские игры в России,2018,2015,2014,2
364,"Купила за клеверсы про-код пандао. Должно начислется 250баллов. Пишет, что данный код уже использован. Верните хотя бы клеверсы, либо вышлете новый код",Й,Ц,У,0
365,В каком году изобрели велосипед ?,2696,1791,1853,1
367,Что из этих холодных напитков является чаем?,Sprite,Coca-Cola,Lipton,2
369,"До скольки миль/ч должна была разогнаться машина времени из фильма ""Назад в будущее"" для осуществления путешествия во времени?",91,66,88,2
370,"Сколько слов в скороговорке про ""Петра Петровича""?",14,17,19,1
371,Каким днем недели будет следующее 29 февраля?,Суббота,Понедельник,Среда,0
373,В чьи ворота забил свой первый гол легендарный Уейн Гретски?,Доминик Гашек,Глэн Хэнлон,Патрик Руа,1
374,Кто из этих гитаристов является основателем тура G3?,Джо Сатриани,Эрик Джонсон,Стив Вай,0
375,В каком из этих стилей не принимали участия темнокожие музыканты?,Би боп,Диксилэнд,Блюз,1
377,Эндорсером какой фирмы является гитарист Слэш?,Gibson,Fender,Ibanez,0
378,https://vk.com/empl1 Заблокируйте бота.,"Зачем его блокировать,и тем более как?",Не нужно,Мы заблокирует его,2
379,В каком испанском футбольном клубе играют только испанцы?,Реал Сосьедад,Эспаньол,Атлетик Бильбао,2
380,В каком городе расположен один из крупнейших и значимых музеев европейского изобразительного искусства Прадо?,Париж,Флоренция,Мадрид,2
381,"Сколько персиков изображено на картине  А.Серова ""Девочка с персиками""?",3,Четыре.Один держит в руке и три на столе лежат.,5,1
382,Где знакомятся Мастер и Маргарита?,в цветочном магазине,в трамвае,на улице,2
383,К какому отряду относятся ласотчка,Ракшеобра́зные,Воробьинообразные,Стрижеобразные,1
384,Какая самая большая черепаха?,Водная,Сейшельская,Тратила,1
387,Когда вернут стикеры?,Неизвестно,Некогда,Скоро,1
388,В каком году был открыт ВИЧ ?,1994 г.,1947 г.,1983 г.,2
390,Сколько длится период беременности у кур?,Куры не беременеют,21 день (период высиживания яиц),2 месяца,1
391,"Кто из героев сериала Lost не вошел в число Шестёрки Oceanic, выбравшейся с острова на большую землю?",Саид Джарра,Аарон Литтлтон,Джеймс Форд,2
393,"Как зовут персонажа,которого сыграл Джеффри Ди Морган,в сериале ""Ходячие мертвецы""?",Шейн,Рик,Ниган,2
394,"Когда стартовала первая игра викторины ""Клевер""?",14 февраля,14 марта,14 мая,1
395,"Как переводится ""stretch""?",Растягиваться,Отжиматься,Подтягиваться,0
397,Где находится Водопад из унитазов?,Россия,Вьетнам,Китай,2
398,"Какое любимое блюдо инопланетян было в сериале ""Альф""?",Пицца,Кошка,Запечёный гусь,1
401,Международный день Черного моря отмечается:,30 июня,31 августа,31 октября,2
403,Чему НЕ равно произведение 11 на 11,120+1,122-1,110,2
404,"Какой заповедник, созданный в 1999 году единственный в Алтайском крае?",Пещера Ящур,Тигирёк,Горе Сухая Грива,1
405,"Как с китайского переводится иероглиф, состоящий из двух ключей ""человека"", находящегося во ""рту""?",Людоед,Заключенный,Терпеть,1
406,В какой игре в качестве главного героя был Майлз Апшер?,Outlast,System Shock 2,Dead Space,0
407,Какое заклинание Гарри Поттер использует против дементоров?,Репелло магнетум,Экспекто патронум,Силиум сиркулус,1
408,Какое из этих имён не было использовано Эдмоном Дантесом?,Нуартье Вильфор,Аббат Бузони,Граф монте-кристо,0
410,Сколько лет Эдмон Дантес сидел в крепости Иф?,14,21,13,2
413,"На каком событии был снят клип Димы Билана＆Polina ""Пьяная любовь""?",Корпоративе,Свадьбе,Похоронах,1
415,Кому из русских царей было дано прозвище «Тишайший»?,Петр третий,Степан Разин,Алексей Михайлович,2
